cdu,assunto
"355:34:00","Direito Militar"
"34","Ciências Jurídicas"
"340","Direito Comum"
"340","Direito Lusitano"
"340","Sistema Jurídico"
"340","Sociologismo Jurídico"
"342","Direito Nacional"
"343","Direito Criminal"
"346","Direito Econômico"
"347","Negócio Jurídico"
"340.112","Argumentação Jurídica"
"340.112","Linguagem Jurídica"
"340.113","Comunicação Jurídica"
"340.113","Linguistica Jurídica"
"341.924","Direito Internacional Privado (Conflitos)"
"341.924","Direito Intertemporal"
"342.722","Igualdade Civil e Politica"
"342.733","Direito de Ensinar e Aprender"
"342.734","Direito ao Bem-Estar Social"
"342.734","Direito ao Trabalho"
"347.733","Direito Antitruste"
"347.736","Processo Falimentar"
"347.951","Procedimentos Especiais(Processo Civil)"
"001.8:34","Monografia Jurídica"
"316.334.4","Cultura Jurídica"
"316.334.4","Sociologia Jurídica"
"316.4","Processos Sociais"
"316.4","Processos Sociais - Dinâmica social"
"316.4.057.4","Processos Latentes"
"34"04/14"","Direito (Idade Media)"
"34"15/19"","Direito (Moderno)"
"34(038)(81)","Direito - Dicionário - Língua Portuguesa - Brasil"
"34(09)","Direito (História)"
"34(094)","Direito e Legislação"
"34(1-15)","Direito (Mundo Ocidental)"
"34(38)","Direito (Grecia)"
"34(81)","Direito (Brasil)"
"34:336.2","Direito Financeiro"
"34:342.8","Direito Eleitoral"
"34:343.1(81)(094)","Direito Processo penal (Brasil - Documentos Legais)"
"34:347(81)(094)","Direito Civil (Brasil - Documentos Legais)"
"34:347.7(81)(094)","Direito Comercial (Brasil - Documentos Legais)"
"34:355","Direito (Regime Militar)"
"340","Direito"
"340(079.1)","Direito (Trabalhos Finais de Curso)"
"340(091)","Direito (Estrutura Histórica)"
"340(27-789.5)","Direito (Missões Jesuíticas)"
"340(38)","Direito Grego"
"340(469)","Direito Português"
"340(81)","Sistema Jurídico Brasileiro"
"340(81)","Direito Brasiliero"
"340(811.411.16)","Direito Hebraico"
"340.01","Pensamento Jurídico"
"340.1","Ciência Jurídica"
"340.1","dogmática Jurídica"
"340.1","Direito Jurídico"
"340.1","Direito Positivo"
"340.1","Ordem Jurídica"
"340.1","Personalidade Jurídica"
"340.1(430)","Direito (Alemanha)"
"340.1/.8","Direito Consular(tipo)"
"340.11","doutrina Jurídica"
"340.112","Portugues Jurídico"
"340.112:17","Ética Jurídica"
"340.113:811.124","Linguística Jurídica (Língua Latim)"
"340.115","Metodologia Jurídica"
"340.12","Filosofia Jurídica"
"340.12","Ontologia Jurídica"
"340.12","Gnoseologia Jurídica"
"340.12","Positivismo Jurídico"
"340.122","Direito Natural"
"340.13","Norma Jurídica - Lei"
"340.6","Psicologia Jurídica"
"340:005.55","Direito (Sistema Administrativo)"
"340:378","Ensino Jurídico"
"340:7","Arte do Direito"
"341","Direito Internacional"
"341.1/.8","Direito Internacional Público"
"341.231.14","Direito Humanos"
"341.36","Direito de Guerra"
"341.4","Direito Penal Internacional"
"341.46","Direito Internacional (Pessoas criminosas)"
"341.461","Pessoa Jurídica (Corporações internacionais)"
"341.7","Direito Diplomático"
"341.8","Direito Consular"
"341.9","Direito Internacional privado"
"342","Direito Constitucional"
"342(079.1)","Direito Constitucional (Trabalhos finais de curso)"
